Experimental_Interaction	db	publications
"[{'P03427', 'A0A024R0Q3'}]"	HPIdb;IntAct	{'28611246'}
"[{'P03427', 'A0A024R382'}]"	HPIdb;IntAct	{'28611246'}
"[{'E9PKA7', 'P03468'}]"	HPIdb	{'26789921'}
"[{'Q5NEQ5', 'Q06138'}]"	IntAct	{'26714771'}
"[{'P03433', 'A0A087X159'}]"	HPIdb	{'20064372'}
"[{'P9WIA1', 'Q571K4'}]"	BioGrid	{'25642820'}
"[{'P06929', 'A0A0C4DG91'}]"	HPIdb	{'22898364'}
"[{'Q83BP6', 'P50636'}]"	HPIdb;IntAct	{'29176882'}
"[{'A0A0C4DGG9', 'P06465'}]"	HPIdb	{'22898364'}
"[{'P06465', 'A0A0C4DGQ5'}]"	HPIdb	{'22898364'}
"[{'P06929', 'A0A0C4DGQ5'}]"	HPIdb	{'22898364'}
"[{'Q601L9', 'P06867'}]"	HPIdb;IntAct	{'25293691'}
"[{'P0A6Z0', 'A0A0G4PYZ0'}, {'P0A6Y8', 'A0A0G4PYZ0'}]"	IntAct	{'17357109'}
"[{'P03427', 'C9J2P2'}]"	HPIdb;IntAct	{'30833792'}
"[{'A0A0U1RRE5', 'A0A3N4B688'}]"	IntAct	{'20711500'}
"[{'A0A1V1IGJ9', 'P0A6Z0'}, {'P0A6Y8', 'A0A1V1IGJ9'}]"	IntAct	{'17357109'}
"[{'Q5NET8', 'A0A384DVV8'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A3B3IRW5', 'P12848'}]"	HPIdb	{'19637933'}
"[{'P03433', 'A0A3B3IS55'}]"	HPIdb	{'20064372'}
"[{'P03433', 'A0A3B3ISM6'}]"	HPIdb	{'20064372'}
"[{'P03433', 'A0A3B3IT92'}]"	HPIdb	{'17932485'}
"[{'P03433', 'J3KQ69'}]"	HPIdb	{'17932485'}
"[{'A0A2U2GXX7', 'Q9TQE4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A3N4BJ32', 'A0AV96'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03433', 'A0AV96'}]"	HPIdb	{'26789921'}
"[{'P03496', 'A0AV96'}]"	HPIdb	{'26789921'}
"[{'Q81JW1', 'A0AV96'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0FGR8', 'Q56061'}]"	Manual	{'31611645'}
"[{'A0FGR8', 'Q8ZMM8'}]"	Manual	{'31611645'}
"[{'Q5NGX7', 'A0JLQ5'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NFY7', 'A0JNV7'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0JNW5', 'Q8ZAF0'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NHI7', 'A0M8X1'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'A0MZ66'}]"	HPIdb;IntAct	{'28611246'}
"[{'Q81VT8', 'A0PJ79'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0PJ79', 'Q81UJ9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8CZQ3', 'A0PJ79'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HKA9', 'A0PJD3'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0PJD3', 'Q81WU4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A1A4Z1', 'Q81P27'}]"	HPIdb;IntAct	{'20711500'}
"[{'A1L0T0', 'P03468'}]"	HPIdb	{'26789921'}
"[{'P03496', 'A1L0T0'}]"	HPIdb	{'26789921'}
"[{'O84826', 'A1L188'}]"	IntAct	{'26118995'}
"[{'A1L390', 'A0A0F6B423'}]"	Manual	{'34237247'}
"[{'A1L443', 'P15682'}]"	HPIdb	{'25464832'}
"[{'Q8XAJ5', 'A2A2Y4'}]"	HPIdb;IntAct	{'25519916'}
"[{'Q8ZC18', 'A2A3L6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8D194', 'A2IDD5'}]"	HPIdb;IntAct	{'20711500'}
"[{'A2RRP1', 'Q5NIJ3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NGF9', 'A2RU30'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A3N4B4F6', 'A2RUS2'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2W3W7', 'A2RUS2'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8D1J6', 'A2RUS2'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2WCL3', 'A3KN83'}]"	Manual	{'23800426'}
"[{'Q8D0V0', 'A3KN83'}]"	HPIdb;IntAct	{'20711500'}
"[{'A4D0V7', 'A0A6L7HGS2'}]"	HPIdb;IntAct	{'20711500'}
"[{'A4D1V7', 'A0A380PNP6'}]"	HPIdb;IntAct	{'20711500'}
"[{'A4FU69', 'Q5NEC5'}]"	IntAct	{'26714771'}
"[{'Q8D0G3', 'A5D8V6'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A2P0H9B7', 'A5D8Y4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A5D8Y4', 'A0A6L7GZX4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A5D8Y4', 'A0A6L8P747'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NEM9', 'A5PLL7'}]"	IntAct	{'26714771'}
"[{'Q8CKW7', 'A5PLN9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q83B01', 'A5PLN9'}]"	HPIdb;IntAct	{'29176882'}
"[{'A0A0H2W345', 'A5YKK6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8CZZ7', 'A5YKK6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NGF1', 'A5YKK6'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A2U2GXT2', 'A5YKK6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZFX5', 'A5YKK6'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'A5YP36'}]"	HPIdb;IntAct	{'28611246'}
"[{'A0A384LL56', 'A6H8Y1'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A2U2H2G1', 'A6NC98'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NI33', 'A6NC98'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03496', 'A6ND22'}]"	HPIdb	{'26789921'}
"[{'A6NEC2', 'P06821'}]"	HPIdb;IntAct	{'28169297'}
"[{'Q5NHH2', 'A6NEK1'}]"	IntAct	{'26714771'}
"[{'A6NH11', 'A0A6L8PKS7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81LD0', 'A6NHN6'}]"	HPIdb;IntAct	{'20711500'}
"[{'A6NHR9', 'Q7ARD3'}]"	HPIdb;IntAct	{'20711500'}
"[{'A6NHR9', 'Q5NID2'}]"	HPIdb;IntAct	{'20711500'}
"[{'A6NHR9', 'Q8ZEC9'}]"	HPIdb;IntAct	{'20711500'}
"[{'A6NHR9', 'P15682'}]"	HPIdb	{'25464832'}
"[{'A6NHR9', 'P05777'}]"	HPIdb	{'25464832'}
"[{'P03427', 'A6NI56'}]"	HPIdb;IntAct	{'28611246'}
"[{'A6NJA2', 'P06821'}]"	HPIdb	{'26789921'}
"[{'A0A0H3L6J6', 'A6NJG2'}]"	IntAct	{'30118682'}
"[{'P03427', 'A6NK53'}]"	HPIdb;IntAct	{'28611246'}
"[{'A6NM11', 'A0A0H2W0J0'}]"	HPIdb;IntAct	{'20711500'}
"[{'A6NM11', 'A0A6L7H5N1'}]"	HPIdb;IntAct	{'20711500'}
"[{'A6NM11', 'A0A2S9PFM0'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A3N4B8Z3', 'A6NM11'}]"	HPIdb;IntAct	{'20711500'}
"[{'A6NMS7', 'A0A6L8PAV6'}]"	HPIdb;IntAct	{'20711500'}
"[{'A6PVS8', 'P06465'}]"	HPIdb	{'22898364'}
"[{'Q5NET6', 'A7E1X5'}]"	HPIdb;IntAct	{'20711500'}
"[{'A7E2V4', 'A0A6L8PMI4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81QB6', 'A7E2V4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q7CIS2', 'A7E2V4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A7E2V4', 'Q5NHN4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A7E2V7', 'A0A6L7H0X9'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HL57', 'A7KAX9'}]"	HPIdb;IntAct	{'20711500'}
"[{'A7MCY6', 'Q0WD22'}]"	HPIdb;IntAct	{'21911467'}
"[{'A0A6L7H060', 'A8K0D8'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PEJ3', 'A8K0D8'}]"	HPIdb;IntAct	{'20711500'}
"[{'A8K0D8', 'A0A3N4B6L4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PBE1', 'A8K0D8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NHN8', 'A8K2F4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8BML9', 'Q83B01'}]"	HPIdb;IntAct	{'29176882'}
"[{'A8K3J5', 'Q5NIA8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NEC0', 'A8K451'}]"	HPIdb;IntAct	{'20711500'}
"[{'A8K451', 'A0A4Y1WDN0'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q9X334', 'A8K4F0'}]"	HPIdb;IntAct	{'20711500'}
"[{'A8K6U0', 'A0A6L7HS72'}]"	HPIdb;IntAct	{'20711500'}
"[{'A8K7A4', 'Q5NGV7'}]"	HPIdb;IntAct	{'20711500'}
