From	Cluster ID	Cluster Name	Size	Identity	Common taxon	Common taxon ID
A0A384KEI8	UniRef50_A0A023CMC2	Cluster: L-aspartate oxidase	807	0.5	Bacillales	1385
A0A024A2C9	UniRef50_A0A024A2C9	Cluster: Lipoprotein binding FH	4	0.5	Haemophilus	724
A0A380PNS0	UniRef50_A0A024HNP5	Cluster: YgjP-like metallopeptidase domain-containing protein	420	0.5	Bacteria	2
A0A6L7H6R1	UniRef50_A0A060LSB2	Cluster: YqcI/YcgG family protein	1093	0.5	Bacteria	2
A0A6L7HKT5	UniRef50_A0A060M8N2	Cluster: DegV family protein	40	0.5	Bacillaceae	186817
Q8CZN4	UniRef50_A0A060VMI0	Cluster: Co/Zn/Cd efflux system membrane fusion protein	1563	0.5	Bacteria	2
A0A0H2WAS6	UniRef50_A0A069BDZ9	Cluster: Acyl carrier protein	39	0.5	Burkholderiaceae	119060
A0A6L8PL44	UniRef50_A0A069PZR0	Cluster: Acryloyl-CoA reductase	1657	0.5	root	1
O84326	UniRef50_A0A070A0A5	Cluster: Transmembrane protein	31	0.5	Chlamydia	810
Q81YF4	UniRef50_A0A073JUQ9	Cluster: BNR repeat-containing protein	620	0.5	Bacteria	2
A0A6L7HFG1	UniRef50_A0A073K3H5	Cluster: DUF3967 domain-containing protein	387	0.5	Bacteria	2
A0A6L7HDM5	UniRef50_A0A073KAU9	Cluster: Transcriptional regulator	492	0.5	Bacillaceae	186817
A0A6L8PY00	UniRef50_A0A073KFX6	Cluster: TPR repeat-containing protein YvcD	557	0.5	Bacteria	2
A0A6H3AB30	UniRef50_A0A075RBT5	Cluster: histidine kinase	946	0.5	Terrabacteria group	1783272
Q9S1D9	UniRef50_A0A076G2N9	Cluster: HTH cro/C1-type domain-containing protein	134	0.5	Gammaproteobacteria	1236
A0A6L8P192	UniRef50_A0A078LVH8	Cluster: Dipeptide transport system permease protein DppC	656	0.5	Bacillota	1239
A0A3N4AY03	UniRef50_A0A080SRV8	Cluster: Glycerophosphodiester phosphodiesterase	1290	0.5	Bacteria	2
Q8CWI4	UniRef50_A0A083ZUJ6	Cluster: 2-amino-3-ketobutyrate coenzyme A ligase	7187	0.5	root	1
A0A6L7HLM8	UniRef50_A0A084J2G7	Cluster: Biotin carboxylase	557	0.5	Terrabacteria group	1783272
Q7ARK4	UniRef50_A0A085A802	Cluster: Transposase	2233	0.5	root	1
Q8D1Q0	UniRef50_A0A085G1Z4	Cluster: Succinate-semialdehyde dehydrogenase	9	0.5	Pseudomonadota	1224
A0A3N4AX01	UniRef50_A0A085G550	Cluster: 6-phospho-beta-glucosidase	2111	0.5	root	1
A0A2U2H486	UniRef50_A0A085GAU1	Cluster: Beta-lactamase	1633	0.5	cellular organisms	131567
A0A3N4B3K9	UniRef50_A0A085GBM6	Cluster: 5-methyl-dCTP pyrophosphohydrolase	484	0.5	Enterobacterales	91347
A0A3N4BEU0	UniRef50_A0A085GC51	Cluster: Pyruvate-flavodoxin oxidoreductase	1453	0.5	root	1
Q8D0E1	UniRef50_A0A085GEA5	Cluster: Formiminoglutamic iminohydrolase	1081	0.5	root	1
A0A5P8YDR4	UniRef50_A0A085GH45	Cluster: Catabolic arginine decarboxylase	236	0.5	Bacteria	2
Q8CZK5	UniRef50_A0A085GLR1	Cluster: Putative aldolase	1045	0.5	cellular organisms	131567
A0A380PFZ4	UniRef50_A0A085GLR9	Cluster: histidine kinase	3030	0.5	cellular organisms	131567
A0A2U2GYI1	UniRef50_A0A085GMP5	Cluster: Glutamate transport ATP-binding protein	1086	0.5	cellular organisms	131567
Q8D176	UniRef50_A0A085GMP7	Cluster: N-carbamoyl-L-amino acid hydrolase	2043	0.5	Bacteria	2
A0A3N4B4H4	UniRef50_A0A085U2K4	Cluster: Choline-sulfatase	456	0.5	Bacteria	2
A0A2U2GWL4	UniRef50_A0A085U2K9	Cluster: PTS system, N-acetylgalactosamine-specific IIC component	298	0.5	Gammaproteobacteria	1236
Q8CZX0	UniRef50_A0A085U2L0	Cluster: PTS system, N-acetylgalactosamine-specific IID component	254	0.5	Gammaproteobacteria	1236
A0A0E1P162	UniRef50_A0A085U2L1	Cluster: PTS system N-acetylgalactosamine-specific transporter subunit IIA component	305	0.5	Gammaproteobacteria	1236
Q8CWI1	UniRef50_A0A085U6H8	Cluster: Anaerobic glycerol-3-phosphate dehydrogenase subunit C	235	0.5	root	1
A0A3N4BGW8	UniRef50_A0A085UA23	Cluster: Antibiotic biosynthesis monooxygenase domain-containing protein	333	0.5	Enterobacterales	91347
A0A380PGZ4	UniRef50_A0A086EPS6	Cluster: Translocation and assembly module TamB	2217	0.5	Bacteria	2
A0A0E8XIZ4	UniRef50_A0A087L749	Cluster: DUF2169 domain-containing protein	59	0.5	Enterobacterales	91347
A0A062IJG7	UniRef50_A0A090BDC4	Cluster: Biofilm PGA synthesis lipoprotein pgaB	874	0.5	Pseudomonadota	1224
A0A6L7HCP8	UniRef50_A0A090IWG6	Cluster: Tetraprenyl-beta-curcumene synthase	795	0.5	Bacteria	2
A0A1J9WBB5	UniRef50_A0A090J0C3	Cluster: CP-type G domain-containing protein	403	0.5	Bacteria	2
A0A6L8P7T8	UniRef50_A0A090J383	Cluster: 3-ketoacyl-CoA thiolase	1799	0.5	Bacteria	2
A0A6L8P1I7	UniRef50_A0A090YMA2	Cluster: ABC-2 type transporter domain-containing protein	936	0.5	Bacteria	2
A0A6L8PXL6	UniRef50_A0A090YRB1	Cluster: Probable UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SPINDLY	501	0.5	Bacteria	2
A0A6L8NUY8	UniRef50_A0A090YSB6	Cluster: Transglycosylase	1014	0.5	Bacteria	2
