From	Cluster ID	Cluster Name	Size	Identity	Common taxon	Common taxon ID
A0A024R0Q3	UniRef100_A0A024R0Q3	Cluster: Zinc finger protein 224, isoform CRA_a	1	1.0	Homo sapiens	9606
A0A024R382	UniRef100_A0A024R382	Cluster: CNDP dipeptidase 2 (Metallopeptidase M20 family), isoform CRA_d	1	1.0	Homo sapiens	9606
E9PKA7	UniRef100_A0A024R5B6	Cluster: Farnesylated proteins-converting enzyme 2	17	1.0	Boreoeutheria	1437010
A0A384DVV8	UniRef100_A0A024R946	Cluster: KIAA0040, isoform CRA_a	2	1.0	Homo sapiens	9606
A0A087X159	UniRef100_A0A087X159	Cluster: Single stranded DNA binding protein 2	38	1.0	Theria	32525
A0A0C4DG91	UniRef100_A0A0C4DG91	Cluster: Nucleoside diphosphate kinase	2	1.0	Homininae	207598
A0A0C4DGG9	UniRef100_A0A0C4DGG9	Cluster: DNA helicase	1	1.0	Homo sapiens	9606
A0A0C4DGQ5	UniRef100_A0A0C4DGQ5	Cluster: Calpain small subunit 1	3	1.0	Homo sapiens	9606
A0A0G4PYZ0	UniRef100_A0A0G4PYZ0	Cluster: MHC class II antigen	20	1.0	Homo sapiens	9606
C9J2P2	UniRef100_A0A0J9YX62	Cluster: DnaJ heat shock protein family (Hsp40) member B6	12	1.0	Hominidae	9604
A0A0U1RRE5	UniRef100_A0A0U1RRE5	Cluster: Negative regulator of P-body association	18	1.0	Catarrhini	9526
A0A1V1IGJ9	UniRef100_A0A1V1IGJ9	Cluster: HLA class II histocompatibility antigen DR beta chain	57	1.0	Homo sapiens	9606
A0A3B3IRW5	UniRef100_A0A3B3IRW5	Cluster: Forkhead box P1	2	1.0	Simiiformes	314293
A0A3B3IS55	UniRef100_A0A3B3IS55	Cluster: Actin binding LIM protein 1	1	1.0	Homo sapiens	9606
A0A3B3ISM6	UniRef100_A0A3B3ISM6	Cluster: uroporphyrinogen-III synthase	1	1.0	Homo sapiens	9606
A0A3B3IT92	UniRef100_A0A3B3IT92	Cluster: DNA replication licensing factor MCM4	2	1.0	Homo sapiens	9606
J3KQ69	UniRef100_A0A499FHX9	Cluster: DNA replication licensing factor MCM3	2	1.0	Homo sapiens	9606
Q9TQE4	UniRef100_A0A7R8ND50	Cluster: MHC class II antigen	7	1.0	Homo sapiens	9606
Q5HYD9	UniRef100_A0A8I5KSY8	Cluster: Cytochrome b5 type B	3	1.0	Homo sapiens	9606
K7EJR3	UniRef100_A0A8V8TR48	Cluster: 26S proteasome non-ATPase regulatory subunit 8	7	1.0	Hominidae	9604
A0AV96	UniRef100_A0AV96	Cluster: RNA-binding protein 47	2	1.0	Homo sapiens	9606
A0FGR8	UniRef100_A0FGR8	Cluster: Extended synaptotagmin-2	1	1.0	Homo sapiens	9606
A0JLQ5	UniRef100_A0JLQ5	Cluster: Ribosome biogenesis protein BRX1 homolog (Fragment)	1	1.0	Homo sapiens	9606
A0JNV7	UniRef100_A0JNV7	Cluster: Egf-like module containing, mucin-like, hormone receptor-like 2	2	1.0	Homo sapiens	9606
A0JNW5	UniRef100_A0JNW5	Cluster: Bridge-like lipid transfer protein family member 3B	5	1.0	Homo sapiens	9606
A0M8X1	UniRef100_A0M8X1	Cluster: Thyroid peroxidase	1	1.0	Homo sapiens	9606
A0MZ66	UniRef100_A0MZ66	Cluster: Shootin-1	7	1.0	Homininae	207598
A0PJ79	UniRef100_A0PJ79	Cluster: MRPL1 protein (Fragment)	1	1.0	Homo sapiens	9606
A0PJD3	UniRef100_A0PJD3	Cluster: C14orf43 protein (Fragment)	1	1.0	Homo sapiens	9606
A1A4Z1	UniRef100_A1A4Z1	Cluster: IQ motif and ubiquitin domain containing	1	1.0	Homo sapiens	9606
A1L0T0	UniRef100_A1L0T0	Cluster: 2-hydroxyacyl-CoA lyase 2	7	1.0	Homininae	207598
A1L188	UniRef100_A1L188	Cluster: NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	2	1.0	Homininae	207598
A1L390	UniRef100_A1L390	Cluster: Pleckstrin homology domain-containing family G member 3	3	1.0	Homo sapiens	9606
A1L443	UniRef100_A1L443	Cluster: NUT family member 2F	1	1.0	Homo sapiens	9606
A2A2Y4	UniRef100_A2A2Y4	Cluster: FERM domain-containing protein 3	2	1.0	Homo sapiens	9606
A2A3L6	UniRef100_A2A3L6	Cluster: Tetratricopeptide repeat protein 24	1	1.0	Homo sapiens	9606
A2IDD5	UniRef100_A2IDD5	Cluster: Coiled-coil domain-containing protein 78	1	1.0	Homo sapiens	9606
